What is a Limit?,Limits and Continuity,,Basic Calculus,STEM_BC11LC-IIIa-3
What are one-sided limits?,Limits and Continuity,,Basic Calculus,STEM_BC11LC-IIIa-3
What is the easiest way to evaluate a limit?,Limits and Continuity,,Basic Calculus,STEM_BC11LC-IIIb-1
What is the easiest way to evaluate a limit?,Limits and Continuity,,Basic Calculus,STEM_BC11LC-IIIa-4
How to Evaluate limits involving infinity? ,Limits and Continuity,,Basic Calculus,STEM_BC11LC-IIIb-1
When is the function value equal to the limit at the point?,Limits and Continuity,,Basic Calculus,STEM_BC11LC-IIIc-1
How can you tell if a function is continuous?,Limits and Continuity,,Basic Calculus,STEM_BC11LC-IIIc-2
What is derivative?,Derivatives,,Basic Calculus,STEM_BC11D-IIIe-2
When is a function differentiable?,Derivatives,,Basic Calculus,STEM_BC11D-IIIf-1
Can you differentiate without Evaluating the Limit?,Derivatives,,Basic Calculus,STEM_BC11D-IIIf-1
What is the Chain rule?,Derivatives,,Basic Calculus,STEM_BC11D-IIIh-2
How can you Differentiate implicit equations?,Derivatives,,Basic Calculus,STEM_BC11D-IIIi-2
What is antiderivative?,Integration,,Basic Calculus,STEM_BC11I-IVa-b-1
What are the other rules used in antidifferentiation?,Integration,,Basic Calculus,STEM_BC11I-IVb-c-1
How to compute the approximate area of a region under a curve?,Integration,,Basic Calculus,STEM_BC11I-IVg-1
What are the fundamental Theorem of calculus?,Integration,,Basic Calculus,STEM_BC11I-IVh-2
How do you find the exact area of a region between curves?,Integration,,Basic Calculus,STEM_BC11I-IVg-1
How can you Evaluate Limits with indeterminate forms?,,,Basic Calculus,-
How can you use derivatives for optimization?,,,Basic Calculus,-
What is Exponential Growth and Decay?,,,Basic Calculus,-
What is an Entrepreneur?,Entrepreneurship,,Entrepreneurship,-
How is the Entrepreneurial mindset developed?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0a-4
How is the Entrepreneurial mindset developed?,Entrepreneurship,,Entrepreneurship,-
How Relevant is Entrepreneurship to the Philippine Economy?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0d-8
What are career opportunities for Entrepreneurs?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0d-8
What are the Components of a Business Plan?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0a-1
What are the Components of a Business Plan?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0a-4
What needs will Your Start-UP Business Fill?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0b-c-5
How do you Organize and Manage your Business?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0a-3
How do you Organize and Manage your Business?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0d-6
What are the Elements of a Marketing Strategy?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0d-7
Which Financial Tools are Useful in Capitalizing Your Business?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-14
"Why is Strategic Planning Important fir Micro , Small, nd Medium Enterprises (MSMEs)?",Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What are the Key Economic concepts that Validate a Business Plan,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
How do you Asses Your Local Market Environment?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0d-8
How are Risks Managed?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-13
What is the Supply Chain and its Importance to Your Product-Market Strategy?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What is the Supply Chain and its Importanceto Your Product- Market Strategy?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What Product or Service Shall you Offer to Your Target Market?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0a-3
How do you Proceed with the Business Start-Up?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-10
How do you Proceed with the Business Start-Up?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
What are the government Regulatory Requirements That Business Start-Up must Comply with?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-12
How do you Track and Record your Financial Operations?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-16
How Do You Monitor Your Business Operations?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0a-i-20
How do you Intruduce your Business to Market?,Entrepreneurship,,Entrepreneurship,CS_EP11/12ENTREP-0h-j-13
Ano ang Akademikong Pagsulat? Ano ang pagkakaiba nito sa ibang sulatin?,Pag-unawa sa Binasa ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PB-0a-c-101
Ano ang Akademikong Pagsulat? Ano ang pagkakaiba nito sa ibang sulatin?,Pag-unawa sa Napakinggan ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PN-0a-c-90
Ano ang pagkakaiba ng Akademikong sulatin sa Di-Akademiko? Pano ito makikilala,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0d-f-92
Ano ang pagkakaiba ng Akademikong sulatin sa Di-Akademiko? Pano ito makikilala,Pag-unawa sa Napakinggan ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PN-0a-c-90
Ano ang Abstrak? Anu-ano ang nilalaman nito?,Estratehiya sa Pag-aaral,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12EP-0a-c-39
Ano ang Abstrak? Anu-ano ang nilalaman nito?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0d-f-92
Paano magsulat ng sintesis? Ano ang hakbangin sa pagsulat nito?,Pag-unawa sa Binasa ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PB-0m-o-102 
Paano magsulat ng sintesis? Ano ang hakbangin sa pagsulat nito?,-,,Pagsulat sa Filipino sa Piling Larang,-
Paano magbuod? Ano ang hakbangin sa pagsulat ng buod? Ano ang pinagkaiba nito sa sintesis?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0d-f-92
Paano magbuod? Ano ang hakbangin sa pagsulat ng buod? Ano ang pinagkaiba nito sa sintesis?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-95
Ano ang nakalagay isang Bionote? Saan ito madalas matatagpuan,Pag-unawa sa Napakinggan ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PN-0a-c-90
Ano ang nakalagay isang Bionote? Saan ito madalas matatagpuan,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0d-f-93
Ano ang Panukalang Proyekto? Saan ito madalas ginagawa?,Estratehiya sa Pag-aaral,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12EP-0a-c-39
Ano ang Panukalang Proyekto? Saan ito madalas ginagawa?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0d-f-92
Bakit ka nagsusulat ng Talumpati?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-94
Bakit ka nagsusulat ng Talumpati?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0d-f-92
Paano nagiging maayos at malinaw ang isang pulong?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-94
Paano nagiging maayos at malinaw ang isang pulong?,-,,Pagsulat sa Filipino sa Piling Larang,-
Paano naitatala ang isang pulong?,Pag-unawa sa Napakinggan ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PN-0j-l-92 
Paano naitatala ang isang pulong?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-94
Paano nga ba magsulat gamit ang Replektibong Sanaysay?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-95
Paano nga ba magsulat gamit angReplektibong Sanaysay?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-95
Saan ka papanig? Bakit kailangan ng Posisyong papel?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-95
Saan ka papanig? Bakit kailangan ng Posisyong papel?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-94
Ano ang Pictorial Essay? Paano ito naiiba sa iba pang uri ng sanaysay?,-,,Pagsulat sa Filipino sa Piling Larang,-
Paano ka maglalakbay habang nagsusulat?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0p-r-94
Ano ang Liham?,Pagsulat,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PU-0d-f-92
Ano ang Liham?,-,,Pagsulat sa Filipino sa Piling Larang,-
Anu-ano ang mga bahagi ng Liham?,Pag-unawa sa Napakinggan ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PN-0j-l-92 
Anu-ano ang mga bahagi ng Liham?,Pag-unawa sa Binasa ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PB-0m-o-102 
Anu-ano ang mga pangunahing uri ng Liham?,Pag-unawa sa Binasa ,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PB-0m-o-102 
Paano magsalin ng isang teksto?,Paglinang ng Talasalitaan,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12PT-0m-o-90
Paano magsalin ng isang teksto?,Wika at Gramatika,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12WG-0p-r-93
Anu-ano ang mga bagay na dapat tandaan sa pagsasalin?,Wika at Gramatika,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12WG-0p-r-93
Ano ang dapat tandaan ng isang nagsasaling-wika?,Wika at Gramatika,,Pagsulat sa Filipino sa Piling Larang,CS_FA11/12WG-0p-r-93
Aralin 1: Ano ang kahalagahan ng wika?,Paglinang ng Talasalitaan,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PT-Ia-85
Aralin 2: Bakit nagkakaroon ng barayti at baryasyon sa loob ng lingguwistikong komunidad?,Panonood,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PD – IIb – 88
Aralin 3: Ano ba ang naitutulong sa atin ng wika at sa pakikipag-ugnayan natin sa ating kapwa?,Paglinang ng Talasalitaan,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PT – Ic – 86
Aralin 4: Paano naipapahayag sa tulong ng wika ang sariling kasarian at napapanatili ng naghaharing-uri ang estado sa lipunan?,Pagsasalita,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PS – IIb – 89
Aralin 5: Paano napapairal ang nasyonalismo at kapangyarihan gamit ang wika?,Pag-unawa sa Napakinggan,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PN – If – 87
Aralin 6: Ano ang kasaysayang pinagdaanan sa pagbubuo ng wikang pambansa ?,Wika at Gramatika,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11WG – Ih – 86
"Aralin 7: Paano umuunlad ang wikang pambansa sa larangan ng pamamahala, kalakalan, at negosyo?",Wika at Gramatika,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11WG – IIc – 87
Aralin 8: Ano ang kalagayan ng wikang pambansa sa mass media at social media?,Pag-unawa sa Binasa,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PB – IIa – 96
Aralin 9: Umuunlad ba ang wikang pambansa sa larangan ng edukasyon at relihiyon?,Pagsasalita,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PS – Ig – 88
Aralin 10: Ano ang kakayahang lingguwistiko ng isang tao?,Panonood,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PD – IIb – 88
Aralin 11: Paano naipapakita ang sosyolingguwistikong kakayahan gamit ang wikang Filipino?,Pag-unawa sa Binasa,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PB – IIa – 96
Aralin 12: Ano ang kakayahang pragmatiko sa paraan ng pakikipagkomunikasyon ng mga Pilipino?,Pag-unawa sa Binasa,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PB – IIa – 96
Aralin 13: Paano napapaunlad ang kakayahang diskorsal sa paggamit ng wikang Filipino?,Wika at Gramatika,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,"F11WG – IIh –89"
Aralin 14: Ano ang maka-Pilipinong pananaliksik?,Pagsulat,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PU – IIg – 88
Aralin 15: Ano ang mga unang hakbang bago isulat ang pananaliksik?,Pagsulat,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PU – IIg – 88
"Aralin 16: Paano maisasaayos ang mga ideya sa pananaliksik, at paano ito maipapakilala sa mambabasa?",Wika at Gramatika,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,"F11WG – IIh –89"
Aralin 17: Ano ang mga lapit at pamamaraan sa pagkalap ng datos?,Pag-unawa sa Binasa,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PB – IIa – 96
Aralin 18: Bakit kailangan ng pag-iingat sa pagsusulat ng mga ideya sa pananaliksik?,Panonood,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PD – IIb – 88
Aralin 19: Ano ang iba’t ibang paraan ng pagsisinop ng tala at pagsulat ng talasanggunian?,Wika at Gramatika,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,"F11WG – IIh –89"
"Aralin 20: Pagkatapos isulat ang unang borador ng pananaliksik, ano ang mga susunod na hakbang bago ito isumite?",Pagsulat,,Komunikasyon at Pananaliksik sa Wika at Kulturang Filipino,F11PU – IIg – 88
What Is The Origin Of The Universe And The Solar System?,Earth Science,,Earth and Life Science,
What Makes The Earth Habitable?,Earth Science,,Earth and Life Science,S11/12ES-Ia-e- 3
What Makes The Earth Habitable?,Earth Science,,Earth and Life Science,S11/12ES-Ia-e- 4 
What Are Minerals? What Are Rocks?,Earth Science,,Earth and Life Science,S11/12ES-Ia-9
What Are The Earth's Resources?,Earth Science,,Earth and Life Science,
What Is Weathering? What Is Erosion?,Earth Science,,Earth and Life Science,S11/12ES-Ib-12 
"How Does Earth's Internal Heat Drive Volcanism, Plutonism, And Rock Deformation",Earth Science,,Earth and Life Science,
What Is Plate Tectonics?,Earth Science,,Earth and Life Science,S11/12ES-Id-22 
What Happened To The Earth In The Past?,Earth Science,,Earth and Life Science,S11/12ES-Ie-27 
What Happened To The Earth In The Past?,Earth Science,,Earth and Life Science,S11/12ES-Ie-29 
What Are The Geological Hazards In Your Community?,Earth Science,,Earth and Life Science,S11/12ES-If-30
What Are The Geological Hazards In Your Community?,Earth Science,,Earth and Life Science,S11/12ES-If-31
What Are The Hydrometeorological Hazards In Your Community? What Makes A Disaster A ‘Disaster’?,Earth Science,,Earth and Life Science,S11/12ES-Ig-36
What Are The Hydrometeorological Hazards In Your Community? What Makes A Disaster A ‘Disaster’?,Earth Science,,Earth and Life Science,S11/12ES-Ii-41 
Where Did Life Come From?,Life Science,,Earth and Life Science,S11/12LT-IIa-1
What Makes Us Alive?,Life Science,,Earth and Life Science,S11/12LT-IIa-3
What Is The Central Dogma Of Molecular Biology?,Life Science,,Earth and Life Science,
What Is Photosynthesis?,Life Science,,Earth and Life Science,S11/12LT-IIa-3
How Do We Use Glucose To Get Energy?,Life Science,,Earth and Life Science,S11/12LT-IIa-3
How Do Plants And Animals Reproduce?,Life Science,,Earth and Life Science,S11/12LT-IIej-15 
How Do Plants And Animals Reproduce?,Life Science,,Earth and Life Science,S11/12LT-IIej-19
How Do You Sustain Life?,Life Science,,Earth and Life Science,S11/12LT-IIIaj-22
How Do Plants Sustain Life?,Life Science,,Earth and Life Science,S11/12LT-IIIaj-22
How Are Ecosystems Interdependent?,Life Science,,Earth and Life Science,
How Are Ecosystems Interdependent?,Life Science,,Earth and Life Science,S11/12LT-IVhj-29
What Is Evolution?,Life Science,,Earth and Life Science,S11/12LT-IVfg-26 
What Is Evolution?,Life Science,,Earth and Life Science,S11/12LT-IVfg-27 
What Is Community?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IIIa-c-1
How Does A Community Become Empowered?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IIIa-c-2
What Are The Structure In A Community?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IIIa-c-5
What Are Community Dynamic And Processes?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IIIa-c-6
What Are The Typologies Of A Community?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IIId-g-7
What Are Community Action Modalities?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-II-d-g-8
What Is An Individual's Role In The Community?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IId-g-9
How Can Solidarity Promote Community Development?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IId-g-10 
What Is The Role Of The Youth In Community Action?,,,"Community Engagement, Solidarity, and Citizenship","HUMSS_CSC12-IIIh-j-12;
HUMSS_CSC12-IIIh-j-13; 
HUMSS_CSC12-IIIh-j-14"
How Can The Youth Participate In Community Action?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IIIh-j-15
What Are The Human Rights?,,,"Community Engagement, Solidarity, and Citizenship","HUMSS_CSC12-IIIh-j-12;
HUMSS_CSC12-IIIh-j-13; 
HUMSS_CSC12-IIIh-j-14"
What Are The Human Rights?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IId-g-10 
What Is Social Justice?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IVa-d-18
What Is The Relationship Between Empowerment And Advocacy?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IVa-d-17
What Is Participatory Development?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IVa-d-19
What Is Gender And Gender Equality?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IIIh-j-15
What Are The Methods Of Profiling And Assessing Community Needs?,,,"Community Engagement, Solidarity, and Citizenship","HUMSS_CSC12-IVe-h-21;
HUMSS_CSC12-Ive-h-22"
How Do You Build Effective Partnerships With The Community?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IV-e-h-20
How Do You Build Effective Partnerships With The Community?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IVa-d-19
What Are The Different Leadership Styles And Community Resources?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IVa-d-18
What Are The Different Leadership Styles And Community Resources?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IV-e-h-20
What Are The Methods Of Social Action And Field Practicum?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IVa-d-19
What Are The Methods Of Social Action And Field Practicum?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IV-e-h-20
How Do You Evaluate And Assess Community-Based Initiatives?,,,"Community Engagement, Solidarity, and Citizenship",HUMSS_CSC12-IVa-d-19
